window_ms,frames,fps,avg_latency_ms,max_latency_ms,dropped_frames,null_frames,read_failures
1000,0,0,0,0,0,198,0
1000,3,3,19.9681,42.1137,4,46,0
1000,4,4,42.7279,84.3107,7,0,0
1000,3,3,40.8627,72.1684,5,0,0
1000,4,4,63.2748,94.2721,6,0,0
1000,4,4,46.2496,77.3761,7,0,0
1000,4,4,55.1913,90.8023,7,0,0
1000,3,3,37.3313,75.007,5,0,0
1000,4,4,52.5968,88.168,7,0,0
1000,4,4,36.6291,72.2873,7,0,0
1000,3,3,55.6045,89.1234,5,0,0
1000,4,4,38.4455,74.0759,7,0,0
1000,4,4,47.6592,87.3672,7,0,0
1000,3,3,70.7498,99.798,5,0,0
1000,4,4,43.9208,83.4299,7,0,0
1000,4,4,53.0933,96.3273,7,0,0
1000,3,3,51.9402,80.8563,5,0,0
1000,4,4,50.0944,93.8596,7,0,0
1000,4,4,58.2302,89.5409,6,0,0
1000,4,4,42.4508,73.9789,7,0,0
1000,3,3,49.1212,86.7159,5,0,0
1000,4,4,64.2534,99.4335,7,0,0
1000,4,4,48.094,83.6014,7,0,0
1000,3,3,63.2279,96.6604,5,0,0
1000,4,4,45.6456,81.0088,7,0,0
1000,4,4,54.9295,94.6449,7,0,0
1000,3,3,49.1729,82.5862,5,0,0
1000,4,4,55.2623,94.4738,7,0,0
1000,4,4,39.4657,78.8063,7,0,0
1000,3,3,61.7557,90.8589,5,0,0
1000,4,4,35.2831,74.9351,7,0,0
1000,4,4,44.1889,87.709,7,0,0
1000,4,4,53.3794,84.8855,6,0,0
1000,3,3,59.7394,97.4958,5,0,0
1000,4,4,49.9413,81.3971,7,0,0
1000,4,4,58.7493,94.2775,7,0,0
1000,3,3,40.7796,79.2648,5,0,0
1000,4,4,56.2026,91.5739,7,0,0
1000,4,4,41.1377,76.0415,7,0,0
1000,3,3,57.5327,89.819,5,0,0
1000,4,4,39.8912,74.6862,7,0,0
1000,4,4,48.8266,88.579,7,0,0
1000,3,3,41.7507,75.8208,5,0,0
1000,4,4,46.8622,86.6825,7,0,0
1000,1,1,98.6417,98.6417,1,0,0
