window_ms,frames,fps,avg_latency_ms,max_latency_ms,dropped_frames,null_frames,read_failures
1000,10,10,0.620653,1.04186,0,0,0
1000,10,10,0.614957,0.934398,0,0,0
1000,10,10,0.581881,1.0207,0,0,0
1000,10,10,0.598458,1.00221,0,0,0
1000,10,10,0.614634,1.06154,0,0,0
1000,10,10,0.502858,1.06,0,0,0
1000,10,10,0.418097,1.00189,0,0,0
1000,10,10,0.538033,1.04659,0,0,0
1000,10,10,0.547291,0.899612,0,0,0
1000,10,10,0.500746,0.963327,0,0,0
1000,10,10,0.600614,1.00029,0,0,0
1000,10,10,0.557445,1.04358,0,0,0
1000,10,10,0.489203,0.874524,0,0,0
1000,10,10,0.578575,1.07187,0,0,0
1000,10,10,0.732516,0.974015,0,0,0
1000,10,10,0.556655,1.0137,0,0,0
1000,10,10,0.50808,1.07975,0,0,0
1000,10,10,0.475564,0.956991,0,0,0
1000,10,10,0.551134,1.03418,0,0,0
1000,10,10,0.412272,1.09284,0,0,0
1000,10,10,0.449739,0.882429,0,0,0
1000,10,10,0.603123,1.00061,0,0,0
1000,10,10,0.542283,1.06739,0,0,0
1000,10,10,0.498803,0.892412,0,0,0
1000,10,10,0.362546,1.06951,0,0,0
1000,10,10,0.527998,1.00918,0,0,0
1000,10,10,0.555119,1.00822,0,0,0
1000,10,10,0.553246,1.02659,0,0,0
1000,10,10,0.653522,1.07344,0,0,0
1000,10,10,0.771049,1.08253,0,0,0
1000,10,10,0.714487,2.96592,0,0,0
1000,10,10,0.439294,1.01603,0,0,0
1000,10,10,0.984499,4.02224,0,0,0
1000,10,10,0.49047,1.02723,0,0,0
1000,10,10,0.610925,0.996672,0,0,0
1000,10,10,0.269545,1.04282,0,0,0
1000,10,10,0.545707,1.05607,0,0,0
1000,10,10,0.511153,1.02371,0,0,0
1000,10,10,0.567176,1.04026,0,0,0
1000,10,10,0.798698,1.04679,0,0,0
1000,10,10,0.547615,0.981696,0,0,0
1000,10,10,0.478015,1.01731,0,0,0
1000,10,10,0.570994,1.03754,0,0,0
1000,10,10,0.71594,1.08122,0,0,0
1000,10,10,0.574076,0.958623,0,0,0
1000,10,10,0.510026,1.01616,0,0,0
1000,10,10,0.490211,0.889724,0,0,0
1000,10,10,0.528526,1.04394,0,0,0
1000,10,10,0.637752,1.00102,0,0,0
1000,10,10,0.596505,0.945374,0,0,0
1000,10,10,0.582681,1.09277,0,0,0
1000,10,10,0.46597,0.944062,0,0,0
1000,10,10,0.544945,1.03779,0,0,0
1000,10,10,0.626286,1.07152,0,0,0
1000,10,10,0.603527,0.909406,0,0,0
1000,10,10,0.562559,1.0897,0,0,0
1000,10,10,0.559916,1.00538,0,0,0
1000,10,10,0.521437,0.98768,0,0,0
1000,10,10,0.333022,1.10925,0,0,0
1000,10,10,0.443758,0.952063,0,0,0
1000,10,10,0.772137,1.06819,0,0,0
1000,10,10,0.697395,0.939199,0,0,0
1000,10,10,0.536747,0.930174,0,0,0
1000,10,10,0.491913,0.902397,0,0,0
1000,10,10,0.322221,1.07216,0,0,0
1000,10,10,0.496979,1.09655,0,0,0
1000,10,10,0.398083,0.935966,0,0,0
1000,10,10,0.666005,1.04352,0,0,0
1000,10,10,0.786527,1.34776,0,0,0
1000,10,10,0.647003,1.06701,0,0,0
1000,10,10,0.543416,1.04829,0,0,0
1000,10,10,0.603123,1.06295,0,0,0
1000,10,10,0.629585,1.01927,0,0,0
1000,10,10,0.422429,0.908477,0,0,0
1000,10,10,0.71889,1.00976,0,0,0
1000,10,10,0.643726,1.01219,0,0,0
1000,10,10,0.69911,1.04506,0,0,0
1000,10,10,0.691171,0.987296,0,0,0
1000,10,10,0.519591,1.04483,0,0,0
1000,10,10,0.606323,0.934494,0,0,0
1000,10,10,0.684943,1.02509,0,0,0
1000,10,10,0.601283,0.994496,0,0,0
1000,10,10,0.587532,1.06723,0,0,0
1000,10,10,0.5036,1.00515,0,0,0
1000,10,10,0.711773,1.07136,0,0,0
1000,10,10,0.53307,0.960095,0,0,0
1000,10,10,0.620193,1.00093,0,0,0
1000,10,10,0.676204,1.07306,0,0,0
1000,10,10,0.601187,1.05191,0,0,0
1000,10,10,0.642734,1.03607,0,0,0
