window_ms,frames,fps,avg_latency_ms,max_latency_ms,dropped_frames,null_frames,read_failures
1000,0,0,0,0,0,198,0
1000,29,29,1.00514,9.13761,1,4,0
1000,30,30,0.665347,1.07924,0,0,0
1000,30,30,0.789823,1.09134,0,0,0
1000,30,30,0.596641,1.07879,0,0,0
1000,30,30,0.572435,1.0779,0,0,0
1000,30,30,0.579636,1.08116,0,0,0
1000,30,30,0.615135,1.04222,0,0,0
1000,30,30,0.754164,1.10289,0,0,0
1000,30,30,0.543866,1.08251,0,0,0
1000,30,30,0.45174,1.02487,0,0,0
1000,30,30,0.608777,1.08862,0,0,0
1000,30,30,0.602153,1.04724,0,0,0
1000,30,30,0.587281,1.16904,0,0,0
1000,30,30,0.522958,1.09281,0,0,0
1000,30,30,0.622772,1.08836,0,0,0
1000,30,30,0.748588,1.09672,0,0,0
1000,30,30,0.826404,1.07972,0,0,0
1000,30,30,0.607984,1.10676,0,0,0
1000,30,30,0.609242,1.09889,0,0,0
1000,30,30,0.778247,1.10152,0,0,0
1000,30,30,0.550837,1.08619,0,0,0
1000,30,30,0.739226,1.09195,0,0,0
1000,30,30,0.597477,1.06846,0,0,0
1000,30,30,0.529031,1.07262,0,0,0
1000,30,30,0.56443,1.06036,0,0,0
1000,30,30,0.653551,1.06936,0,0,0
1000,30,30,0.589796,1.069,0,0,0
1000,30,30,0.62735,1.07627,0,0,0
1000,30,30,0.68995,1.07057,0,0,0
1000,30,30,0.642103,1.07591,0,0,0
1000,30,30,0.680541,1.06577,0,0,0
1000,30,30,0.588735,1.07361,0,0,0
1000,30,30,0.580107,1.06977,0,0,0
1000,30,30,0.597989,1.35196,0,0,0
1000,30,30,0.580183,1.0787,0,0,0
1000,30,30,0.63927,1.05547,0,0,0
1000,30,30,0.623644,1.08084,0,0,0
1000,30,30,0.626585,1.10795,0,0,0
1000,30,30,0.497131,1.06967,0,0,0
1000,30,30,0.591458,1.06667,0,0,0
1000,30,30,0.585301,1.09972,0,0,0
1000,30,30,0.690759,1.22021,0,0,0
1000,30,30,0.741669,1.1011,0,0,0
1000,30,30,0.823706,1.08929,0,0,0
1000,30,30,0.707685,1.09844,0,0,0
1000,30,30,0.643682,1.09108,0,0,0
1000,30,30,0.750191,1.09204,0,0,0
1000,30,30,0.708732,1.09422,0,0,0
1000,30,30,0.729646,1.07617,0,0,0
1000,30,30,0.765093,1.09838,0,0,0
1000,30,30,0.62518,1.19419,0,0,0
1000,30,30,0.766454,1.10388,0,0,0
1000,30,30,0.626178,1.09265,0,0,0
1000,30,30,0.739446,1.09054,0,0,0
1000,30,30,0.716056,1.0987,0,0,0
1000,30,30,0.814406,1.23906,0,0,0
1000,30,30,0.655561,1.09998,0,0,0
1000,30,30,0.779278,1.0971,0,0,0
1000,30,30,0.719429,1.08452,0,0,0
1000,30,30,0.589659,1.10641,0,0,0
1000,30,30,0.700573,1.08097,0,0,0
1000,30,30,0.830128,1.08289,0,0,0
1000,30,30,0.953475,10.3435,0,0,0
1000,30,30,0.678471,1.09668,0,0,0
1000,30,30,0.527905,1.06212,0,0,0
1000,30,30,0.753737,1.08536,0,0,0
1000,30,30,0.656339,1.11691,0,0,0
1000,30,30,0.74207,1.08059,0,0,0
1000,30,30,0.771337,1.117,0,0,0
1000,30,30,0.65379,1.0922,0,0,0
1000,31,31,0.660053,1.10814,0,0,0
1000,30,30,0.685493,1.09,0,0,0
1000,30,30,0.720497,1.08836,0,0,0
1000,30,30,0.75091,1.22299,0,0,0
1000,30,30,0.85784,1.20475,0,0,0
1000,30,30,0.8408,1.07601,0,0,0
1000,30,30,0.682037,1.09304,0,0,0
1000,30,30,0.660554,1.09713,0,0,0
1000,30,30,0.695579,1.09345,0,0,0
1000,30,30,0.803537,1.08139,0,0,0
1000,30,30,0.760538,1.09172,0,0,0
1000,30,30,0.54902,1.09393,0,0,0
1000,30,30,0.602191,1.09249,0,0,0
1000,30,30,0.739055,1.09444,0,0,0
1000,30,30,0.738863,1.14715,0,0,0
1000,30,30,0.534271,1.08545,0,0,0
1000,30,30,0.578016,1.08622,0,0,0
1000,30,30,0.635603,1.1171,0,0,0
1000,30,30,0.691417,1.08167,0,0,0
1000,30,30,0.637334,1.16689,0,0,0
1000,30,30,0.856298,1.08398,0,0,0
1000,30,30,0.614505,1.09448,0,0,0
1000,30,30,0.508084,1.08065,0,0,0
1000,30,30,0.780327,1.24613,0,0,0
1000,30,30,0.703249,1.08439,0,0,0
1000,30,30,0.602066,1.07284,0,0,0
1000,30,30,0.445085,1.08455,0,0,0
1000,30,30,0.599672,1.08987,0,0,0
1000,30,30,0.792192,1.11464,0,0,0
1000,30,30,0.905402,1.0995,0,0,0
1000,30,30,0.554859,1.08584,0,0,0
1000,30,30,0.708866,1.08961,0,0,0
1000,30,30,0.867263,1.09358,0,0,0
1000,30,30,0.712853,1.08449,0,0,0
1000,30,30,0.677553,1.08427,0,0,0
1000,30,30,0.71079,1.25339,0,0,0
1000,30,30,0.6596,1.08347,0,0,0
1000,30,30,0.723688,1.08644,0,0,0
1000,30,30,0.840663,1.11416,0,0,0
1000,30,30,0.734424,1.09937,0,0,0
1000,30,30,0.624109,1.08075,0,0,0
1000,30,30,0.773391,1.09867,0,0,0
1000,30,30,0.779878,1.1011,0,0,0
1000,30,30,0.755916,1.0995,0,0,0
1000,30,30,0.573725,1.07927,0,0,0
1000,30,30,0.512032,1.08513,0,0,0
1000,30,30,0.550155,1.08459,0,0,0
1000,30,30,0.636564,1.09873,0,0,0
1000,30,30,0.371074,1.07761,0,0,0
1000,30,30,0.584026,1.09307,0,0,0
1000,30,30,0.648955,1.13419,0,0,0
1000,30,30,0.77447,1.08952,0,0,0
1000,30,30,0.781182,1.0771,0,0,0
1000,30,30,0.873496,1.09009,0,0,0
1000,30,30,0.358153,1.25858,0,0,0
1000,30,30,0.350431,1.0898,0,0,0
1000,30,30,0.46698,1.08484,0,0,0
1000,30,30,0.662374,1.08228,0,0,0
1000,30,30,0.656007,1.08705,0,0,0
1000,30,30,0.624786,1.07383,0,0,0
1000,30,30,0.573948,1.08139,0,0,0
1000,30,30,0.620161,1.08391,0,0,0
1000,30,30,0.707919,1.10004,0,0,0
1000,30,30,0.873595,1.09748,0,0,0
1000,30,30,0.76979,1.11822,0,0,0
1000,30,30,0.810594,1.23791,0,0,0
1000,30,30,0.711954,1.10183,0,0,0
1000,30,30,0.715277,1.10763,0,0,0
1000,30,30,0.71097,1.09489,0,0,0
1000,30,30,0.675009,1.09444,0,0,0
1000,30,30,0.753119,1.09572,0,0,0
1000,30,30,0.685383,1.09655,0,0,0
1000,30,30,0.770907,1.09662,0,0,0
1000,30,30,0.721032,1.07643,0,0,0
1000,30,30,0.682596,1.09783,0,0,0
1000,30,30,0.757315,1.081,0,0,0
1000,30,30,0.90684,1.08465,0,0,0
1000,30,30,0.811186,1.07054,0,0,0
1000,30,30,0.703379,1.08567,0,0,0
1000,30,30,0.668786,1.07681,0,0,0
1000,30,30,0.755379,1.07819,0,0,0
1000,30,30,0.765202,1.09694,0,0,0
1000,30,30,0.761605,1.10392,0,0,0
1000,30,30,0.745612,1.08484,0,0,0
1000,30,30,0.789492,1.0682,0,0,0
1000,30,30,0.84223,1.17579,0,0,0
1000,30,30,0.679898,1.08961,0,0,0
1000,30,30,0.714308,1.09214,0,0,0
1000,30,30,0.813281,1.08683,0,0,0
1000,30,30,1.20333,9.76326,0,0,0
1000,30,30,0.543896,1.09457,0,0,0
1000,30,30,0.595907,1.07134,0,0,0
1000,30,30,0.632064,1.06276,0,0,0
1000,30,30,0.717131,1.10462,0,0,0
1000,30,30,0.742237,1.08039,0,0,0
1000,30,30,0.752433,1.08686,0,0,0
1000,30,30,0.78974,1.07447,0,0,0
1000,30,30,0.746996,1.07303,0,0,0
1000,30,30,0.693102,1.10206,0,0,0
1000,30,30,0.792496,1.08254,0,0,0
1000,30,30,0.710092,1.10443,0,0,0
1000,30,30,0.622472,1.10116,0,0,0
1000,30,30,0.775877,1.13646,0,0,0
1000,30,30,0.65684,1.10987,0,0,0
1000,30,30,0.750081,1.08334,0,0,0
1000,30,30,0.797138,1.20872,0,0,0
1000,30,30,0.606578,1.08657,0,0,0
1000,30,30,0.718242,1.11425,0,0,0
1000,30,30,0.75321,1.08865,0,0,0
1000,30,30,0.83478,1.09931,0,0,0
1000,30,30,0.776613,1.08542,0,0,0
1000,30,30,0.769019,1.08702,0,0,0
1000,30,30,0.588152,1.10497,0,0,0
1000,30,30,0.668653,1.10651,0,0,0
1000,30,30,0.688329,1.09089,0,0,0
1000,30,30,0.661726,1.06644,0,0,0
1000,30,30,0.625841,1.08324,0,0,0
