window_ms,frames,fps,avg_latency_ms,max_latency_ms,dropped_frames,null_frames,read_failures
1000,0,0,0,0,0,198,0
1000,17,17,0.846758,2.86321,0,17,0
1000,20,20,0.744257,1.14897,0,0,0
1000,20,20,0.741678,1.17156,0,0,0
1000,20,20,0.797003,1.19585,0,0,0
1000,20,20,0.75791,1.1506,0,0,0
1000,20,20,0.630651,1.11428,0,0,0
1000,20,20,0.728483,1.3213,0,0,0
1000,19,19,0.709514,1.16097,0,0,0
1000,20,20,0.696137,1.11706,0,0,0
1000,20,20,0.605731,1.15751,0,0,0
1000,20,20,0.805709,1.16337,0,0,0
1000,20,20,0.771616,1.14718,0,0,0
1000,20,20,0.684043,1.13834,0,0,0
1000,18,18,0.45637,1.08833,0,0,0
1000,15,15,0.814604,1.13457,0,0,0
1000,15,15,0.776373,1.08292,0,0,0
1000,15,15,0.678964,1.15447,0,0,0
1000,19,19,0.655565,1.14513,0,0,0
1000,20,20,0.635826,1.13438,0,0,0
1000,13,13,0.713096,1.121,0,0,0
